country_name,country_code,region,income_group,indicator_name,indicator_code,year,gdp_per_capita,gdp_variation
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2019,5267.9276273194,3.00225101815019
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2020,5049.55823705701,-2.08128885739266
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2021,5906.22674978763,6.51021575026225
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2022,6137.8170764372,3.03250690104775
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2023,6254.08764955685,
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1960,158.100147137028,0.0
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1961,160.901874221843,-1.29779855273546
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1962,169.694639112863,3.44391903163856
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1963,188.285013364548,3.66864206053054
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1964,182.65594567984,2.3946846934064
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1965,196.091718732954,2.05420606052655
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1966,207.127525039152,-0.562926880196741
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1967,202.040124307772,-3.31143067043426
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1968,210.557419528473,0.44277729348974
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1969,231.481945653491,6.16024503034703
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1970,251.685457585957,4.99754726424922
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1971,251.886643750847,4.89357237501267
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1972,276.324980402645,0.228163375136319
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1973,342.664637993645,1.49702270289312
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1974,422.644767263857,4.5791066955023
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1975,451.133575063953,-3.03964334588585
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1976,474.46834328887,2.25270855851301
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1977,507.075725323015,-0.0570632440624337
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1978,551.581961807816,-3.02294753377215
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1979,631.039532403956,0.882425687584316
